Date,Open,High,Low,Close,Adj Close,Volume,RSI,Middle Band,Upper Band,Lower Band,touch_upper,touch_lower,Long Entry,Long Exit,Short Entry,Short Exit,Long Profit,Short Profit,Balance,Daily Return
2018-02-27,79.55000305175781,79.55000305175781,78.5999984741211,78.5999984741211,63.32001495361328,37296697,35.88040153419236,82.71500015258789,85.1963836971828,80.23361660799299,False,True,False,False,False,False,0.0,0.0,0.0,-0.011942231818880211
2018-02-28,78.19999694824219,78.44999694824219,78.0,78.0,62.836669921875,24780124,41.86047199332398,82.51166687011718,85.12221138949299,79.90112235074137,False,True,False,False,False,False,0.0,0.0,0.0,-0.00763356852123398
2018-03-01,77.19999694824219,78.05000305175781,77.1500015258789,77.9000015258789,62.7560920715332,26947744,41.86047199332398,82.28166681925455,84.98592471354917,79.57740892495994,False,True,False,False,False,False,0.0,0.0,0.0,-0.0012820317195012532
2018-03-02,77.30000305175781,77.4000015258789,77.05000305175781,77.19999694824219,62.19217300415039,33903684,37.4045743731669,82.01999994913737,84.82506254393373,79.21493735434102,False,True,False,False,False,False,0.0,0.0,0.0,-0.008985937919451459
2018-03-05,77.0,77.05000305175781,75.94999694824219,75.94999694824219,61.1851806640625,34817652,35.897422999059884,81.70333328247071,84.64092925211193,78.76573731282949,False,True,False,False,False,False,0.0,0.0,0.0,-0.016191710484626642
2018-03-06,76.5999984741211,77.0,76.0999984741211,76.5999984741211,61.70882797241211,23078928,39.928053210326354,81.40999984741211,84.40454642690204,78.41545326792217,False,True,False,False,False,False,0.0,0.0,0.0,0.008558282448936305
2018-03-07,76.19999694824219,76.5999984741211,75.9000015258789,75.94999694824219,61.1851806640625,23842359,36.39574695228801,81.10833307902018,84.18351410915041,78.03315204888996,False,True,False,False,False,False,0.0,0.0,0.0,-0.008485659775809395
2018-03-08,76.19999694824219,76.69999694824219,76.19999694824219,76.30000305175781,61.4671516418457,16339656,27.419391556609725,80.79499994913736,83.86508218845368,77.72491770982104,False,True,False,False,False,False,0.0,0.0,0.0,0.004608375478331483
2018-03-09,76.5,76.8499984741211,76.4000015258789,76.5999984741211,61.70882797241211,13637664,18.55204588403194,80.48666661580404,83.4954450807541,77.47788815085399,False,True,False,False,False,False,0.0,0.0,0.0,0.003931787816047416
2018-03-12,77.0999984741211,77.69999694824219,76.80000305175781,77.4000015258789,62.35331344604492,29470962,30.81085138199151,80.21666666666667,83.12169606448523,77.3116372688481,False,False,False,False,False,False,0.0,0.0,0.0,0.010443904277988914
2018-03-13,77.3499984741211,77.44999694824219,77.0999984741211,77.0999984741211,62.11161804199219,18004006,24.719127129584706,79.93000005086263,82.69628758828092,77.16371251344434,False,True,False,False,False,False,0.0,0.0,0.0,-0.0038760083442311855
2018-03-14,76.5,76.75,76.3499984741211,76.5,61.62827682495117,19530566,29.530214400996215,79.64499994913737,82.30395860796214,76.9860412903126,False,True,False,False,False,False,0.0,0.0,0.0,-0.007782081530422924
2018-03-15,76.0,76.44999694824219,75.9000015258789,76.4000015258789,61.547698974609375,24254241,28.1879552027265,79.38833338419596,81.97302601898345,76.80364074940847,False,True,False,False,False,False,0.0,0.0,0.0,-0.0013071695963541297
2018-03-16,76.25,77.3499984741211,76.25,76.94999694824219,61.99076843261719,22136321,33.54428423807546,79.1466667175293,81.60163872707135,76.69169470798725,False,False,False,False,False,False,0.0,0.0,0.0,0.007198892819092251
2018-03-19,76.5,77.44999694824219,76.5,77.1500015258789,62.15190887451172,11098284,39.86017418472287,78.91666666666667,81.21461705357814,76.6187162797552,False,False,False,False,False,False,0.0,0.0,0.0,0.002599149909924492
2018-03-20,76.80000305175781,76.94999694824219,76.3499984741211,76.94999694824219,61.99076843261719,15140889,42.22221719876393,78.69166666666666,80.83003129025671,76.55330204307661,False,False,False,False,False,False,0.0,0.0,0.0,-0.0025924118429165866
2018-03-21,76.94999694824219,77.9000015258789,76.80000305175781,76.8499984741211,61.91023254394531,18588645,42.22221719876393,78.49166666666666,80.50460338689588,76.47872994643744,False,False,False,False,False,False,0.0,0.0,0.0,-0.001299525381246669
2018-03-22,77.0,77.30000305175781,76.30000305175781,76.30000305175781,61.4671516418457,16147141,43.18187072580906,78.3650001525879,80.39274596211976,76.33725434305603,False,True,False,False,False,False,0.0,0.0,0.0,-0.007156739535245316
2018-03-23,74.75,74.9000015258789,74.0999984741211,74.6500015258789,60.137901306152344,60552833,40.714328532269576,78.1866668701172,80.29914822266052,76.07418551757387,False,True,False,False,False,False,0.0,0.0,0.0,-0.02162518296047289
2018-03-26,74.05000305175781,75.0,73.9000015258789,75.0,60.41986846923828,27598665,38.0597210376425,78.00333353678386,80.14656465147488,75.86010242209284,False,True,False,False,False,False,0.0,0.0,0.0,0.004688526014293037
2018-03-27,75.3499984741211,75.55000305175781,75.0,75.0999984741211,60.500423431396484,20421770,43.08944501440901,77.8466667175293,80.02552079068258,75.66781264437603,False,True,False,False,False,False,0.0,0.0,0.0,0.001333312988281321
2018-03-28,74.4000015258789,74.80000305175781,74.0,74.0,59.6142578125,30235397,33.33329647632232,77.66666666666667,79.93402683876414,75.3993064945692,False,True,False,False,False,False,0.0,0.0,0.0,-0.014647117130104137
