Date,Open,High,Low,Close,Adj Close,Volume,RSI,Middle Band,Upper Band,Lower Band,touch_upper,touch_lower,Long Entry,Long Exit,Short Entry,Short Exit,Long Profit,Short Profit,Balance,Daily Return
2018-01-02,242.0,250.1999969482422,241.8000030517578,250.1999969482422,216.52215576171875,14581940,,,,,False,False,False,False,False,False,0.0,0.0,0.0,
2018-01-03,251.1999969482422,253.1999969482422,248.1999969482422,249.1999969482422,215.65673828125,9056401,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.003996802606703764
2018-01-04,251.0,254.8000030517578,249.0,254.60000610351562,220.32992553710938,9634560,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.0216693788980864
2018-01-05,254.60000610351562,255.0,250.60000610351562,253.1999969482422,219.1183319091797,6869879,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.005498857508684507
2018-01-08,255.0,262.0,252.60000610351562,262.0,226.73385620117188,12682949,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.03475514675285196
2018-01-09,260.0,270.0,259.79998779296875,269.0,232.7915802001953,16997073,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.026717557251908497
2018-01-10,268.3999938964844,275.0,268.0,271.79998779296875,235.21470642089844,14666939,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.010408876553787083
2018-01-11,271.79998779296875,272.6000061035156,265.6000061035156,268.3999938964844,232.2723846435547,10142463,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.012509176045563897
2018-01-12,271.6000061035156,274.79998779296875,268.20001220703125,274.79998779296875,237.81088256835938,10766870,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.02384498525343748
2018-01-15,280.0,280.0,271.20001220703125,272.3999938964844,235.73394775390625,14078612,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.0087336026313527
2018-01-16,272.6000061035156,288.3999938964844,272.6000061035156,288.3999938964844,249.5802459716797,21911252,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.05873715256425527
2018-01-17,285.0,295.6000061035156,284.20001220703125,295.6000061035156,255.8111572265625,23113632,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.024965368791288967
2018-01-18,296.79998779296875,301.0,292.6000061035156,297.6000061035156,257.54193115234375,23241009,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.006765899724980429
2018-01-19,297.0,298.3999938964844,293.0,294.79998779296875,255.11883544921875,12108548,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.009408663484949398
2018-01-22,295.0,302.79998779296875,291.79998779296875,301.0,260.48431396484375,15669544,84.89009589767225,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.02103124987707039
2018-01-23,303.0,306.0,301.79998779296875,303.3999938964844,262.561279296875,14476834,86.52289547548281,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.007973401649449707
2018-01-24,302.79998779296875,304.6000061035156,298.20001220703125,301.3999938964844,260.8304443359375,13079378,83.05083028911949,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.006591957944080851
2018-01-25,300.0,301.0,293.0,293.0,253.56117248535156,13067563,75.57840712761936,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.027869920592531128
2018-01-26,295.20001220703125,300.0,295.20001220703125,297.3999938964844,257.3688659667969,13636703,74.11443926440157,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.015017044015305014
2018-01-29,299.79998779296875,301.79998779296875,291.6000061035156,292.20001220703125,252.86875915527344,12367229,66.20113136713681,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.017484807653570633
2018-01-30,291.20001220703125,294.79998779296875,287.0,288.0,249.23414611816406,15878685,61.09589877193921,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.0143737578082489
2018-01-31,285.0,296.3999938964844,284.3999938964844,296.3999938964844,256.5034484863281,15904686,67.94871794871794,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.02916664547390413
2018-02-01,296.0,296.6000061035156,290.20001220703125,290.79998779296875,251.65725708007812,8751050,60.36269266194672,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.018893408295654
2018-02-02,288.0,292.0,286.0,289.0,250.09954833984375,8191863,60.835512259021705,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.006189779465363032
2018-02-05,278.0,287.79998779296875,278.0,286.20001220703125,247.6764373779297,16002487,48.26499850059518,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.009688539076016411
2018-02-06,276.20001220703125,280.0,266.6000061035156,266.79998779296875,230.88771057128906,35449216,30.952370380028583,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.06778484831100884
2018-02-07,276.0,279.79998779296875,267.3999938964844,267.79998779296875,231.7531280517578,22478974,30.026799013128695,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.003748126108521266
2018-02-08,267.0,275.0,267.0,271.0,234.52243041992188,12149785,34.13334147135416,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.011949261960030766
2018-02-09,260.20001220703125,261.6000061035156,255.1999969482422,258.20001220703125,223.44532775878906,27291859,23.77450943726467,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.047232427280327505
2018-02-12,260.79998779296875,263.0,257.0,258.0,223.27223205566406,10611228,21.410580990929674,278.75333099365236,296.10094787454756,261.40571411275715,False,True,False,False,False,False,0.0,0.0,0.0,-0.0007746405792997679
2018-02-13,263.0,267.79998779296875,262.0,266.0,230.19541931152344,12325390,29.27400677604635,279.2799977620443,295.95776301559147,262.6022325084971,False,False,False,False,False,False,0.0,0.0,0.0,0.03100775193798455
2018-02-14,267.20001220703125,272.79998779296875,266.0,272.79998779296875,236.0801239013672,9479635,37.94748499430799,280.06666412353513,295.80691181364284,264.3264164334274,False,False,False,False,False,False,0.0,0.0,0.0,0.025563863883341087
2018-02-15,276.6000061035156,280.0,275.79998779296875,280.0,242.3109893798828,8903961,39.953814855575395,280.91333058675133,295.90166510055303,265.9249960729496,False,False,False,False,False,False,0.0,0.0,0.0,0.026393007805027624
2018-02-20,278.0,281.79998779296875,274.20001220703125,277.79998779296875,240.40707397460938,9463176,41.3875489795963,281.73333028157555,295.7976493200182,267.6690112431329,False,False,False,False,False,False,0.0,0.0,0.0,-0.007857186453683052
2018-02-21,277.6000061035156,283.20001220703125,276.6000061035156,283.20001220703125,245.08023071289062,7057229,47.169820147923794,282.43999735514325,296.0022580146817,268.8777366956048,False,False,False,False,False,False,0.0,0.0,0.0,0.019438533662164525
2018-02-22,280.20001220703125,283.3999938964844,278.20001220703125,280.0,242.3109893798828,7348437,39.69850498498084,282.8066640218099,296.13979521699713,269.4735328266227,False,False,False,False,False,False,0.0,0.0,0.0,-0.011299477645120626
2018-02-23,283.0,285.79998779296875,282.0,285.79998779296875,247.3302459716797,7169074,46.86716983671958,283.27333068847656,296.452047816186,270.09461356076713,False,False,False,False,False,False,0.0,0.0,0.0,0.02071424211774553
2018-02-26,290.0,295.79998779296875,288.20001220703125,295.79998779296875,255.98423767089844,14127138,53.86362674808381,284.18666381835936,297.24799743239174,271.125330204327,False,False,False,False,False,False,0.0,0.0,0.0,0.0349895046435198
2018-02-27,296.79998779296875,297.20001220703125,288.79998779296875,289.79998779296875,250.7918701171875,13331855,51.97366924058138,284.68666381835936,297.66310713954823,271.7102204971705,False,False,False,False,False,False,0.0,0.0,0.0,-0.020283976496305423
2018-02-28,287.0,289.6000061035156,282.20001220703125,284.0,245.77256774902344,10563349,61.082476862102304,285.0733306884766,297.8422021426052,272.304459234348,False,False,False,False,False,False,0.0,0.0,0.0,-0.02001376134326216
2018-03-01,281.3999938964844,291.6000061035156,279.6000061035156,291.6000061035156,252.34957885742188,11931731,64.13302032897353,285.17999776204425,297.9909140878351,272.3690814362534,False,False,False,False,False,False,0.0,0.0,0.0,0.026760584871533988
2018-03-02,285.79998779296875,288.6000061035156,285.0,285.79998779296875,247.3302459716797,7508021,58.5253337946126,284.85333048502605,297.51344189243457,272.1932190776175,False,False,False,False,False,False,0.0,0.0,0.0,-0.019890323008045163
2018-03-05,285.0,288.20001220703125,277.20001220703125,277.20001220703125,239.88787841796875,10916574,61.50120555464011,284.17333068847654,296.6720171770281,271.67464419992496,False,False,False,False,False,False,0.0,0.0,0.0,-0.030090888569831775
2018-03-06,282.3999938964844,284.6000061035156,279.0,283.0,244.90716552734375,7498437,64.17233363943174,283.7799977620443,296.1173636215555,271.44263190253304,False,False,False,False,False,False,0.0,0.0,0.0,0.020923475965206384
2018-03-07,279.6000061035156,284.0,277.6000061035156,278.0,240.58016967773438,7955406,57.042252512147925,283.0133310953776,294.9519006653171,271.07476152543813,False,False,False,False,False,False,0.0,0.0,0.0,-0.017667844522968212
2018-03-08,281.3999938964844,284.0,280.20001220703125,283.0,244.90716552734375,7234540,56.11511344192806,282.3333312988281,293.6346373322415,271.03202526541475,False,False,False,False,False,False,0.0,0.0,0.0,0.017985611510791477
2018-03-09,285.0,286.3999938964844,283.20001220703125,284.20001220703125,245.94558715820312,4783908,52.7131853244404,281.75999857584634,292.4821181334648,271.0378790182279,False,False,False,False,False,False,0.0,0.0,0.0,0.004240325819898416
2018-03-12,288.3999938964844,292.20001220703125,287.0,292.20001220703125,252.86875915527344,10303133,58.653859556072,281.73333231608075,292.42749202795653,271.03917260420496,False,False,False,False,False,False,0.0,0.0,0.0,0.02814918950169587
2018-03-13,291.3999938964844,292.3999938964844,288.20001220703125,291.0,251.83035278320312,5379331,54.93670113479035,281.51999918619794,291.95146356005796,271.0885348123379,False,False,False,False,False,False,0.0,0.0,0.0,-0.004106817785418215
2018-03-14,288.0,289.6000061035156,286.0,289.0,250.09954833984375,4180331,55.784062604193224,281.4133321126302,291.74773134716196,271.07893287809844,False,False,False,False,False,False,0.0,0.0,0.0,-0.0068728522336769515
2018-03-15,286.0,290.0,286.0,289.6000061035156,250.61880493164062,4137276,52.617092280356474,281.46666564941404,291.8402835828067,271.0930477160214,False,False,False,False,False,False,0.0,0.0,0.0,0.002076145686905173
2018-03-16,286.0,288.79998779296875,281.79998779296875,282.0,244.041748046875,12388994,40.17095057457372,280.9866658528646,290.97133458438236,271.0019971213468,False,False,False,False,False,False,0.0,0.0,0.0,-0.026243114445236082
2018-03-19,281.0,281.79998779296875,277.0,277.0,239.7147216796875,10276314,40.751455538277945,280.52666625976565,290.3603853601612,270.6929471593701,False,False,False,False,False,False,0.0,0.0,0.0,-0.01773049645390068
2018-03-20,274.79998779296875,276.0,271.0,274.0,237.1185760498047,10992593,42.4698822867585,280.02666625976565,289.7958276200449,270.2575048994864,False,False,False,False,False,False,0.0,0.0,0.0,-0.010830324909747335
2018-03-21,275.79998779296875,278.0,269.20001220703125,269.20001220703125,232.9647216796875,12437388,32.38994359526785,279.459999593099,289.3510122348022,269.56898695139574,False,True,False,False,False,False,0.0,0.0,0.0,-0.017518203623973494
2018-03-22,270.0,271.0,261.3999938964844,264.0,228.46463012695312,13534962,32.69842238653273,279.3666666666667,289.3935377343943,269.3397955989391,False,True,False,False,False,False,0.0,0.0,0.0,-0.019316537783185983
2018-03-23,255.0,259.0,253.60000610351562,256.79998779296875,222.2337646484375,17604382,33.441548468920146,279.0,289.64641717416475,268.35358282583525,False,True,False,False,False,False,0.0,0.0,0.0,-0.02727277351148205
2018-03-26,255.0,260.79998779296875,255.0,260.20001220703125,225.17613220214844,10601261,30.743277377636005,278.64000040690104,289.73922577681014,267.54077503699193,False,True,False,False,False,False,0.0,0.0,0.0,0.013239971089109126
2018-03-27,264.79998779296875,265.79998779296875,262.20001220703125,263.3999938964844,227.94537353515625,9185432,37.28223681936961,278.81333312988284,289.61907021462093,268.00759604514474,False,True,False,False,False,False,0.0,0.0,0.0,0.012298161181126366
2018-03-28,260.0,260.79998779296875,255.0,255.1999969482422,220.84915161132812,9095751,27.06272338936192,278.7199996948242,289.7220185379945,267.7179808516539,False,True,False,False,False,False,0.0,0.0,0.0,-0.031131348284938687
2018-03-29,255.60000610351562,257.3999938964844,251.8000030517578,255.1999969482422,220.84915161132812,7101895,25.58922904891311,278.35999959309896,289.95338693973395,266.766612246464,False,True,False,False,False,False,0.0,0.0,0.0,0.0
2018-04-03,253.0,254.39999389648438,250.0,252.8000030517578,218.77220153808594,7511452,13.382913967427328,277.6933334350586,290.1596448020877,265.2270220680295,False,True,False,False,False,False,0.0,0.0,0.0,-0.009404364910596485
2018-04-04,253.60000610351562,257.79998779296875,249.0,249.0,215.4837188720703,6801059,12.765973564429927,276.66000010172525,290.1696543681253,263.1503458353252,False,True,False,False,False,False,0.0,0.0,0.0,-0.015031657459987469
2018-04-06,251.60000610351562,253.8000030517578,248.0,250.60000610351562,216.86830139160156,5705905,15.714309848071593,275.75333404541016,290.0723284339265,261.4343396568938,False,True,False,False,False,False,0.0,0.0,0.0,0.00642572732335589
2018-04-09,251.39999389648438,257.79998779296875,250.39999389648438,255.39999389648438,221.02220153808594,8878147,21.594680006529344,274.82666676839193,289.5412132667978,260.11212026998606,False,True,False,False,False,False,0.0,0.0,0.0,0.01915398114948963
