Date,Open,High,Low,Close,Adj Close,Volume,RSI,Middle Band,Upper Band,Lower Band,touch_upper,touch_lower,Long Entry,Long Exit,Short Entry,Short Exit,Long Profit,Short Profit,Balance,Daily Return
2018-01-02,242.0,250.1999969482422,241.8000030517578,250.1999969482422,216.52218627929688,14581940,,,,,False,False,False,False,False,False,0.0,0.0,0.0,
2018-01-03,251.1999969482422,253.1999969482422,248.1999969482422,249.1999969482422,215.6567840576172,9056401,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.003996802606703764
2018-01-04,251.0,254.8000030517578,249.0,254.60000610351562,220.3298797607422,9634560,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.0216693788980864
2018-01-05,254.60000610351562,255.0,250.60000610351562,253.1999969482422,219.11834716796875,6869879,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.005498857508684507
2018-01-08,255.0,262.0,252.60000610351562,262.0,226.73382568359375,12682949,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.03475514675285196
2018-01-09,260.0,270.0,259.79998779296875,269.0,232.79161071777344,16997073,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.026717557251908497
2018-01-10,268.3999938964844,275.0,268.0,271.79998779296875,235.21470642089844,14666939,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.010408876553787083
2018-01-11,271.79998779296875,272.6000061035156,265.6000061035156,268.3999938964844,232.27235412597656,10142463,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.012509176045563897
2018-01-12,271.6000061035156,274.79998779296875,268.20001220703125,274.79998779296875,237.8109130859375,10766870,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.02384498525343748
2018-01-15,280.0,280.0,271.20001220703125,272.3999938964844,235.73391723632812,14078612,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.0087336026313527
2018-01-16,272.6000061035156,288.3999938964844,272.6000061035156,288.3999938964844,249.5802459716797,21911252,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.05873715256425527
