Date,Open,High,Low,Close,Adj Close,Volume,RSI,Middle Band,Upper Band,Lower Band,touch_upper,touch_lower,Long Entry,Long Exit,Short Entry,Short Exit,Long Profit,Short Profit,Balance
02/01/2018,61,61.09999847,58.79999924,60.20000076,57.05802917,27487993,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
03/01/2018,60.59999847,62.20000076,60.20000076,60.54999924,57.38975906,17015056,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
04/01/2018,61.09999847,61.5,59.84999847,60.25,57.10541534,15378866,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
05/01/2018,60.25,60.5,58.90000153,59.29999924,56.2049942,16681478,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
08/01/2018,59.40000153,60.40000153,59,60.04999924,56.91585922,13413085,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
09/01/2018,59.65000153,61.65000153,59.59999847,61.04999924,57.86366272,24753482,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
10/01/2018,61,61.09999847,60.29999924,60.5,57.34237289,8868848,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
11/01/2018,60,60.40000153,59.59999847,60.15000153,57.01063919,6329102,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
12/01/2018,60.15000153,60.54999924,59.84999847,60.15000153,57.01063919,11240445,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
15/01/2018,61,62.95000076,60.75,62.20000076,58.9536438,30805945,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
16/01/2018,62.45000076,63.75,62.45000076,63.15000153,59.85406113,14931499,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
17/01/2018,63.20000076,63.65000153,61.5,63.65000153,60.32796478,11998294,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
18/01/2018,63.65000153,64.75,63.15000153,63.5,60.18579483,11422368,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
19/01/2018,63.5,64.40000153,63.40000153,63.90000153,60.56491852,7546839,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
22/01/2018,64.19999695,65.94999695,64.05000305,65.94999695,62.50792694,15678593,77.77777368,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
23/01/2018,67.84999847,68.25,66.59999847,67.05000305,63.55051804,13052622,79.27929043,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
24/01/2018,67.19999695,67.69999695,66.19999695,66.34999847,62.88703918,9490632,76.5217149,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
25/01/2018,66.34999847,67,65.65000153,65.69999695,62.27097321,10446416,78.57139694,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
26/01/2018,66,67.19999695,65.59999847,66.30000305,62.83966827,10824121,78.28052315,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
29/01/2018,65.65000153,67.75,65.65000153,67,63.50311279,15176404,77.67439269,62.84750023,68.32054183,57.37445863,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
30/01/2018,66.5,67.69999695,66.09999847,66.84999847,63.36095047,14509791,80.67628043,63.18000011,68.78229271,57.57770752,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
31/01/2018,66.84999847,69.30000305,66.59999847,69.30000305,65.68308258,19732947,86.74693553,63.61750031,69.70097912,57.53402149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
01/02/2018,69.75,70.69999695,68.15000153,69.80000305,66.15699005,18935057,87.25863608,64.09500046,70.55319881,57.63680211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
02/02/2018,69,70.25,64.40000153,68.40000153,64.83004761,27416450,75.2032098,64.55000057,70.86647933,58.23352182,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
05/02/2018,67,69.30000305,65.5,69.19999695,65.58829498,12049607,74.89706611,65.00750046,71.27691451,58.7380864,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
06/02/2018,66,67.5,64.75,64.90000153,61.51272583,24491781,53.9184923,65.20000057,71.18788288,59.21211826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
07/02/2018,66.30000305,67.09999847,64.90000153,65,61.60750198,21715939,54.71697842,65.42500057,70.99271737,59.85728378,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
08/02/2018,64.90000153,67.34999847,64.90000153,66.94999695,63.45573044,13097930,58.73923961,65.76500034,70.77941086,60.75058983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
09/02/2018,65,65,62.40000153,62.90000153,59.61711121,26609297,42.15939665,65.90250034,70.39195858,61.41304211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
12/02/2018,62.5,64.40000153,62.15000153,62.15000153,58.90625381,20045061,37.17276985,65.90000038,70.39818684,61.40181392,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
13/02/2018,62.20000076,64.55000305,62.20000076,64.5,61.13360596,16508540,45.54217071,65.96750031,70.33041506,61.60458556,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
14/02/2018,64.15000153,65.65000153,63.59999847,65.65000153,62.22358704,10297214,49.88236367,66.06750031,70.2963828,61.83861781,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
15/02/2018,67,67.15000153,66.05000305,66.69999695,63.21877289,9660048,50.9216457,66.22750015,70.28608091,62.1689194,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
20/02/2018,66.80000305,68,66.15000153,68,64.4509201,14738503,52.24215369,66.43250008,70.40944352,62.45555664,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
21/02/2018,68,68.19999695,67.15000153,67.94999695,64.40354156,8154710,52.47747523,66.53250008,70.55863479,62.50636537,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
22/02/2018,68.5,68.5,66.80000305,66.80000305,63.3135643,13954641,44.01913264,66.52000008,70.54091871,62.49908144,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
23/02/2018,67.59999847,67.80000305,66.84999847,67.40000153,63.88224411,5399353,44.28570442,66.57250023,70.61145172,62.53354874,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
26/02/2018,67.90000153,68.90000153,67.84999847,68.65000153,65.06700134,9146091,50.59952109,66.72000046,70.83945333,62.60054759,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
27/02/2018,69.30000305,70.19999695,68.84999847,69.34999847,65.73047638,13401902,50.36144986,66.87250023,71.14930068,62.59569978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
28/02/2018,68.90000153,69.84999847,67.30000305,68.5,64.92483521,15030718,60.4046318,66.94750023,71.28588106,62.60911939,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
01/03/2018,67.15000153,69.40000153,67.05000305,68.25,64.68787384,11561525,59.31233069,67.01750031,71.39426559,62.64073502,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
02/03/2018,67.34999847,68,67.25,68,64.4509201,9181039,53.33334625,66.95250015,71.22388202,62.68111828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
05/03/2018,69,69,65.69999695,65.84999847,62.41313171,10121569,60.64981552,66.75499992,70.83291089,62.67708895,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
06/03/2018,67.69999695,67.90000153,66.5,67.65000153,64.11920166,7926317,68.4563834,66.71749992,70.74520196,62.68979789,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
07/03/2018,66.65000153,67.55000305,66,66,62.55531693,8132430,55.28169128,66.55750008,70.42085935,62.6941408,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
08/03/2018,66.75,69,66.5,68.40000153,64.83004761,15377383,58.89967813,66.73250008,70.59681314,62.86818701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
09/03/2018,68.90000153,69.75,68.69999695,69.19999695,65.58829498,9953509,58.22368586,66.94249992,70.86641671,63.01858314,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
12/03/2018,70,71.5,69.44999695,71.44999695,67.72086334,14585758,60.68110914,67.16749992,71.57899942,62.75600043,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
13/03/2018,71.30000305,71.34999847,70.09999847,70.59999847,66.9152298,9518927,57.81711857,67.55249977,71.73384464,63.3711549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
14/03/2018,69.19999695,70.30000305,69.09999847,70,66.34654236,6430902,59.75609189,67.94499969,71.40208881,64.48791058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
15/03/2018,69.5,70.80000305,69.15000153,70.40000153,66.72566223,5244664,59.259261,68.23999977,71.45797461,65.02202494,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
16/03/2018,69.69999695,70.5,69.5,69.80000305,66.15699005,5985834,53.69775519,68.44749985,71.49285398,65.40214572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
19/03/2018,69.5,71.69999695,69.19999695,71.5,67.76825714,9795185,56.49547468,68.6875,71.90470221,65.47029779,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
20/03/2018,70.44999695,71.44999695,70.19999695,71.09999847,67.38913727,7996233,58.07453019,68.84249992,72.21518731,65.46981254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
21/03/2018,71.5,72.5,70.65000153,70.80000305,67.1047821,10641071,57.89474927,68.98500023,72.43876937,65.53123109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
22/03/2018,71.69999695,72.5,70.5,70.80000305,67.1047821,9396294,58.80504442,69.18500023,72.56856729,65.80143317,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
23/03/2018,68,70.09999847,66.59999847,69.69999695,66.44698334,18587187,62.96295916,69.3,72.58297044,66.01702956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
26/03/2018,69.55000305,72.25,68.65000153,71.69999695,68.35364532,15527352,63.45513839,69.45249977,72.88814465,66.01685489,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
27/03/2018,73.09999847,73.5,71.75,72.34999847,68.97332001,14030541,72.5978667,69.60249977,73.2732191,65.93178044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
28/03/2018,71.65000153,72.5,69.84999847,69.90000153,66.63766479,16438326,55.31915239,69.67249985,73.30792086,66.03707884,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
29/03/2018,71,71.90000153,69.5,71.25,67.92464447,11507145,56.99660036,69.82249985,73.45835518,66.18664451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
03/04/2018,73,73.80000305,70.90000153,72.65000153,69.25931549,14113095,54.34784411,70.05499992,73.79340638,66.31659347,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
04/04/2018,72.55000305,72.84999847,70.19999695,70.30000305,67.01900482,9124131,49.01962251,70.27750015,73.4488308,67.10616951,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
06/04/2018,70,71.5,70,70.5,67.20965576,10184131,51.67785304,70.42000008,73.34041779,67.49958236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
09/04/2018,71.65000153,72.19999695,70.75,71.90000153,68.54432678,11781113,54.71698294,70.71500015,72.83882446,68.59117584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
10/04/2018,72.15000153,73.65000153,71.40000153,73.19999695,69.783638,15588609,60.24095112,70.95499992,73.06210488,68.84789497,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
11/04/2018,72.84999847,73.84999847,72.19999695,73,69.5929718,9590101,54.96689043,71.14500008,73.27100312,69.01899704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
12/04/2018,73.34999847,73.34999847,70.80000305,70.84999847,67.5433197,16270535,49.25815983,71.11500015,73.23981471,68.99018559,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
13/04/2018,71.80000305,72,69.90000153,70.90000153,67.59099579,16485321,50.30120025,71.13000031,73.24371357,69.01628704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
16/04/2018,70,70.09999847,68.05000305,68.80000305,65.58900452,24118530,44.65240554,71.07000046,73.37797108,68.76202984,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
17/04/2018,69.5,70.80000305,68,68.40000153,65.20767212,18976972,46.38890007,70.97000046,73.55668521,68.38331571,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
18/04/2018,69.59999847,70.09999847,68.55000305,70,66.73299408,16886387,45.1704607,70.98000031,73.54912723,68.41087338,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
19/04/2018,70.65000153,70.94999695,69.5,70.65000153,67.3526535,11319843,45.1704607,70.93750038,73.49851733,68.37648343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
20/04/2018,70.80000305,71.30000305,69.15000153,69.44999695,66.20865631,6936007,48.62383908,70.85500031,73.49893966,68.21106095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
23/04/2018,69,70.30000305,68.5,69.05000305,65.82733154,6175999,42.85714993,70.76750031,73.53217743,68.00282318,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
24/04/2018,69.05000305,70.19999695,68.69999695,70.09999847,66.82833099,5744975,41.52822219,70.73250008,73.5131225,67.95187765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
25/04/2018,69.80000305,69.84999847,68.69999695,69.34999847,66.1133194,8406648,46.46838167,70.71500015,73.52720899,67.90279131,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
