,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio
0005.HK,2.0,2.0,4.25,0.054278416876259845,-0.02823829400878162,36.5,16.0,2.0,2.0,4.25,0.054278416876259845,-0.02823829400878162,36.5,16.0
1299.HK,2.0,2.0,6.849998474121094,0.043588917643077846,0.011997323730033663,28.0,93.875,2.0,2.0,6.849998474121094,0.043588917643077846,0.011997323730033663,28.0,93.875
0700.HK,1.0,1.0,29.0,0.05466540999057493,-0.00265834506058962,1.0,94.375,1.0,1.0,29.0,0.05466540999057493,-0.00265834506058962,1.0,94.375
0941.HK,1.0,1.0,2.6500015258789062,0.04223110001400648,-0.026200288565979748,31.0,148.0,1.0,1.0,2.6500015258789062,0.04223110001400648,-0.026200288565979748,31.0,148.0
3988.HK,6.0,5.0,0.5099995136260986,0.027853605056203046,-0.027942895786136568,24.6,3.2,6.0,5.0,0.5099995136260986,0.027853605056203046,-0.027942895786136568,24.6,3.2
0939.HK,9.0,5.0,0.880000114440918,0.018596790365938462,-0.027872280271537247,8.0,3.0,9.0,5.0,0.880000114440918,0.018596790365938462,-0.027872280271537247,8.0,3.0
1398.HK,6.0,5.0,0.9600000381469727,0.03088803219123367,-0.031529533819826684,9.2,6.333333333333333,6.0,5.0,0.9600000381469727,0.03088803219123367,-0.031529533819826684,9.2,6.333333333333333
2318.HK,1.0,1.0,2.2000045776367188,0.03335867595813978,-0.017686295866871697,2.0,149.8,1.0,1.0,2.2000045776367188,0.03335867595813978,-0.017686295866871697,2.0,149.8
0388.HK,0.0,0.0,0.0,0.0,0.014055777064025799,0.0,19.3,0.0,0.0,0.0,0.0,0.014055777064025799,0.0,19.3
0883.HK,0.0,0.0,0.0,0.0,-0.00026848479377198796,0.0,8.0,0.0,0.0,0.0,0.0,-0.00026848479377198796,0.0,8.0
0011.HK,2.0,2.0,15.500007629394531,0.058801243243998894,-0.026748831693999338,5.5,137.0,2.0,2.0,15.500007629394531,0.058801243243998894,-0.026748831693999338,5.5,137.0
0027.HK,3.0,3.0,7.549999237060547,0.054297010273181436,0.002346688506086157,11.666666666666666,197.5,3.0,3.0,7.549999237060547,0.054297010273181436,0.002346688506086157,11.666666666666666,197.5
0066.HK,0.0,0.0,0.0,0.0,-0.014256678899902673,0.0,11.424242424242424,0.0,0.0,0.0,0.0,-0.014256678899902673,0.0,11.424242424242424
0083.HK,2.0,2.0,0.9200000762939453,0.0406001801627997,-0.01821487470517028,117.5,153.0,2.0,2.0,0.9200000762939453,0.0406001801627997,-0.01821487470517028,117.5,153.0
0101.HK,4.0,3.0,3.0999984741210938,0.046199678934386215,-0.010324820036482508,26.333333333333332,9.0,4.0,3.0,3.0999984741210938,0.046199678934386215,-0.010324820036482508,26.333333333333332,9.0
0175.HK,3.0,2.0,1.2399988174438477,0.02917644210868292,-0.010193142917202646,2.0,372.0,3.0,2.0,1.2399988174438477,0.02917644210868292,-0.010193142917202646,2.0,372.0
0267.HK,2.0,2.0,1.0699996948242188,0.05755780990003195,-0.015667294568308135,51.0,113.5,2.0,2.0,1.0699996948242188,0.05755780990003195,-0.015667294568308135,51.0,113.5
0291.HK,3.0,3.0,5.399997711181641,0.03969127336614244,0.027898597626734863,26.0,41.111111111111114,3.0,3.0,5.399997711181641,0.03969127336614244,0.027898597626734863,26.0,41.111111111111114
0322.HK,5.0,5.0,2.580000877380371,0.041964881206739905,0.0010971875687944765,21.2,32.25,5.0,5.0,2.580000877380371,0.041964881206739905,0.0010971875687944765,21.2,32.25
0330.HK,20.0,11.0,0.4893951416015625,0.02402341656744793,-0.01803924557397599,8.909090909090908,0.0,20.0,11.0,0.4893951416015625,0.02402341656744793,-0.01803924557397599,8.909090909090908,0.0
0386.HK,6.0,5.0,0.8900001049041748,0.03866203760389204,-0.018908923400318675,10.8,12.571428571428571,6.0,5.0,0.8900001049041748,0.03866203760389204,-0.018908923400318675,10.8,12.571428571428571
0669.HK,3.0,2.0,5.849998474121094,0.04362415019154559,0.022882390949686776,2.5,44.6,3.0,2.0,5.849998474121094,0.04362415019154559,0.022882390949686776,2.5,44.6
0688.HK,2.0,2.0,2.1700000762939453,0.04991948724570824,-0.004407553365770735,5.0,5.0,2.0,2.0,2.1700000762939453,0.04991948724570824,-0.004407553365770735,5.0,5.0
0728.HK,9.0,4.0,0.5500004291534424,0.02093644592860339,-0.007128676466096006,11.75,54.8,9.0,4.0,0.5500004291534424,0.02093644592860339,-0.007128676466096006,11.75,54.8
0762.HK,7.0,3.0,0.6499996185302734,0.0172826272826986,-0.0280995176274032,49.666666666666664,8.5,7.0,3.0,0.6499996185302734,0.0172826272826986,-0.0280995176274032,49.666666666666664,8.5
0823.HK,1.0,1.0,3.2000045776367188,0.045325844855502395,-0.018230038252506776,6.0,65.0,1.0,1.0,3.2000045776367188,0.045325844855502395,-0.018230038252506776,6.0,65.0
0857.HK,5.0,5.0,0.7699999809265137,0.04360135771144842,-0.01511393708055762,18.0,30.666666666666668,5.0,5.0,0.7699999809265137,0.04360135771144842,-0.01511393708055762,18.0,30.666666666666668
0916.HK,4.0,4.0,1.0400004386901855,0.03560426067474924,0.023901620693969523,88.75,61.46666666666667,4.0,4.0,1.0400004386901855,0.03560426067474924,0.023901620693969523,88.75,61.46666666666667
1038.HK,4.0,3.0,5.25,0.025216138236126864,-0.03281439430163816,7.0,17.0,4.0,3.0,5.25,0.025216138236126864,-0.03281439430163816,7.0,17.0
1044.HK,2.0,1.0,2.75,0.023384353286372984,-0.035021463344689675,11.0,1.0,2.0,1.0,2.75,0.023384353286372984,-0.035021463344689675,11.0,1.0
