,,,,,,,,Exit after 3 days,,,,,,
,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio
0005.HK,17,8,14.65000534,0.018515015,-0.028238294,16.375,7.5,17,8,14.65000534,0.018515015,-0.028238294,16.375,7.5
1299.HK,15,8,26.20000076,0.024005865,0.011997324,7.25,57.76923077,15,8,26.20000076,0.024005865,0.011997324,7.25,57.76923077
0700.HK,18,13,274.4999847,0.039836299,-0.002658345,5.076923077,68.63636364,18,13,274.4999847,0.039836299,-0.002658345,5.076923077,68.63636364
0941.HK,21,12,25.24999237,0.021001408,-0.026200289,11.33333333,98,21,12,25.24999237,0.021001408,-0.026200289,11.33333333,98
3988.HK,27,12,1.219999552,0.014958307,-0.027942896,14.08333333,2.25,27,12,1.219999552,0.014958307,-0.027942896,14.08333333,2.25
0939.HK,33,17,3.990000725,0.020949285,-0.02787228,7.294117647,3,33,17,3.990000725,0.020949285,-0.02787228,7.294117647,3
1398.HK,27,16,3.13999939,0.023396166,-0.031529534,9.625,3.75,27,16,3.13999939,0.023396166,-0.031529534,9.625,3.75
2318.HK,21,11,30.20000458,0.020908339,-0.017686296,12.09090909,124.8333333,21,11,30.20000458,0.020908339,-0.017686296,12.09090909,124.8333333
0388.HK,10,6,79.20001221,0.022884886,0.014055777,21.5,35.09090909,10,6,79.20001221,0.022884886,0.014055777,21.5,35.09090909
0883.HK,21,9,3.910000324,0.020085274,-0.000268485,5.333333333,20.33333333,21,9,3.910000324,0.020085274,-0.000268485,5.333333333,20.33333333
0011.HK,18,10,72.3999939,0.0263637,-0.026748832,7.6,47,18,10,72.3999939,0.0263637,-0.026748832,7.6,47
0027.HK,17,12,26.89999008,0.032153945,0.002346689,8.916666667,154.8,17,12,26.89999008,0.032153945,0.002346689,8.916666667,154.8
0066.HK,11,7,11.85000229,0.025536047,-0.014256679,14.42857143,53.71428571,11,7,11.85000229,0.025536047,-0.014256679,14.42857143,53.71428571
0083.HK,15,10,4.470000267,0.026534491,-0.018214875,11.3,102,15,10,4.470000267,0.026534491,-0.018214875,11.3,102
0101.HK,23,12,8.840001106,0.02188986,-0.01032482,16.83333333,130.6,23,12,8.840001106,0.02188986,-0.01032482,16.83333333,130.6
0175.HK,17,11,7.67000103,0.027517673,-0.010193143,7.272727273,372,17,11,7.67000103,0.027517673,-0.010193143,7.272727273,372
0267.HK,15,9,3.629999161,0.02624918,-0.015667295,14.77777778,56.75,15,9,3.629999161,0.02624918,-0.015667295,14.77777778,56.75
0291.HK,15,11,23.69999695,0.03338498,0.027898598,18.45454545,35.23809524,15,11,23.69999695,0.03338498,0.027898598,18.45454545,35.23809524
0322.HK,19,14,10.12999916,0.04238316,0.001097188,6.5,35,19,14,10.12999916,0.04238316,0.001097188,6.5,35
0330.HK,39,18,1.111516118,0.023654334,-0.018039246,7.277777778,0,39,18,1.111516118,0.023654334,-0.018039246,7.277777778,0
0386.HK,23,8,1.300000191,0.012659462,-0.018908923,4.75,5.8,23,8,1.300000191,0.012659462,-0.018908923,4.75,5.8
0669.HK,16,8,22.90000153,0.016850627,0.022882391,16.375,24.77777778,16,8,22.90000153,0.016850627,0.022882391,16.375,24.77777778
0688.HK,14,10,9.629999161,0.030543307,-0.004407553,5,5.5,14,10,9.629999161,0.030543307,-0.004407553,5,5.5
0728.HK,37,16,1.900000095,0.017219504,-0.007128676,9.25,45.66666667,37,16,1.900000095,0.017219504,-0.007128676,9.25,45.66666667
0762.HK,26,10,2.2900002,0.016672735,-0.028099518,22.4,8.5,26,10,2.2900002,0.016672735,-0.028099518,22.4,8.5
0823.HK,18,11,28.50000381,0.022951483,-0.018230038,12.45454545,35,18,11,28.50000381,0.022951483,-0.018230038,12.45454545,35
0857.HK,24,17,2.610000372,0.031840922,-0.015113937,8.882352941,6.333333333,24,17,2.610000372,0.031840922,-0.015113937,8.882352941,6.333333333
0916.HK,27,19,5.430000067,0.02960903,0.023901621,4.052631579,46.1,27,19,5.430000067,0.02960903,0.023901621,4.052631579,46.1
1038.HK,20,10,19.64999771,0.018821837,-0.032814394,10.8,17,20,10,19.64999771,0.018821837,-0.032814394,10.8,17
1044.HK,23,11,23.8999939,0.02089617,-0.035021463,7.363636364,1,23,11,23.8999939,0.02089617,-0.035021463,7.363636364,1
,,,751.0714971,,,,,,,,,,,
